Employee Name,Task Name,Match Score,Availability,Personality Score,Work Style Score
Ananya Verma,build login system,1,part-time,2,3
Priya Das,build login system,0,freelance,2,1
Ananya Verma,build login system,0,full-time,2,1
Aditya Patel,build login system,0,full-time,2,3
Ananya Verma,build login system,0,freelance,2,3
Aarav Sharma,build login system,0,full-time,2,3
Meera Kapoor,build login system,0,freelance,2,3
Rohan Gupta,build login system,0,full-time,2,3
Priya Das,build login system,1,full-time,2,3
Ananya Verma,build login system,0,part-time,2,3
Meera Kapoor,build login system,0,freelance,2,1
Priya Das,build login system,0,full-time,2,3
Rohan Gupta,build login system,1,freelance,2,3
Ishita Singh,build login system,1,full-time,2,3
Ishita Singh,build login system,1,part-time,2,3
Aarav Sharma,build login system,0,full-time,2,1
Sneha Nair,build login system,0,freelance,2,1
Rohan Gupta,build login system,1,full-time,2,3
Aarav Sharma,build login system,1,part-time,2,3
Kabir Mehta,build login system,1,freelance,2,1
Aarav Sharma,build login system,1,part-time,2,1
Aditya Patel,build login system,0,freelance,2,3
Ananya Verma,build login system,0,freelance,2,3
Rohan Gupta,build login system,0,full-time,2,3
Aditya Patel,build login system,0,full-time,2,3
Sneha Nair,build login system,0,full-time,2,1
Ishita Singh,build login system,0,part-time,2,1
Aarav Sharma,build login system,0,full-time,2,1
Kunal Joshi,build login system,0,full-time,2,3
Aditya Patel,build login system,0,full-time,2,3
Ananya Verma,design landing page,0,part-time,2,3
Priya Das,design landing page,0,freelance,2,1
Ananya Verma,design landing page,0,full-time,2,1
Aditya Patel,design landing page,0,full-time,2,3
Ananya Verma,design landing page,0,freelance,2,3
Aarav Sharma,design landing page,0,full-time,2,3
Meera Kapoor,design landing page,0,freelance,2,3
Rohan Gupta,design landing page,0,full-time,2,3
Priya Das,design landing page,0,full-time,2,3
Ananya Verma,design landing page,0,part-time,2,3
Meera Kapoor,design landing page,0,freelance,2,1
Priya Das,design landing page,0,full-time,2,3
Rohan Gupta,design landing page,0,freelance,2,3
Ishita Singh,design landing page,0,full-time,2,3
Ishita Singh,design landing page,0,part-time,2,3
Aarav Sharma,design landing page,0,full-time,2,1
Sneha Nair,design landing page,0,freelance,2,1
Rohan Gupta,design landing page,0,full-time,2,3
Aarav Sharma,design landing page,0,part-time,2,3
Kabir Mehta,design landing page,0,freelance,2,1
Aarav Sharma,design landing page,0,part-time,2,1
Aditya Patel,design landing page,0,freelance,2,3
Ananya Verma,design landing page,0,freelance,2,3
Rohan Gupta,design landing page,0,full-time,2,3
Aditya Patel,design landing page,0,full-time,2,3
Sneha Nair,design landing page,0,full-time,2,1
Ishita Singh,design landing page,0,part-time,2,1
Aarav Sharma,design landing page,0,full-time,2,1
Kunal Joshi,design landing page,0,full-time,2,3
Aditya Patel,design landing page,0,full-time,2,3
Ananya Verma,setup database schema,1,part-time,2,3
Priya Das,setup database schema,0,freelance,2,1
Ananya Verma,setup database schema,0,full-time,2,1
Aditya Patel,setup database schema,0,full-time,2,3
Ananya Verma,setup database schema,0,freelance,2,3
Aarav Sharma,setup database schema,0,full-time,2,3
Meera Kapoor,setup database schema,0,freelance,2,3
Rohan Gupta,setup database schema,0,full-time,2,3
Priya Das,setup database schema,1,full-time,2,3
Ananya Verma,setup database schema,0,part-time,2,3
Meera Kapoor,setup database schema,0,freelance,2,1
Priya Das,setup database schema,0,full-time,2,3
Rohan Gupta,setup database schema,1,freelance,2,3
Ishita Singh,setup database schema,1,full-time,2,3
Ishita Singh,setup database schema,1,part-time,2,3
Aarav Sharma,setup database schema,0,full-time,2,1
Sneha Nair,setup database schema,0,freelance,2,1
Rohan Gupta,setup database schema,1,full-time,2,3
Aarav Sharma,setup database schema,1,part-time,2,3
Kabir Mehta,setup database schema,1,freelance,2,1
Aarav Sharma,setup database schema,1,part-time,2,1
Aditya Patel,setup database schema,0,freelance,2,3
Ananya Verma,setup database schema,0,freelance,2,3
Rohan Gupta,setup database schema,0,full-time,2,3
Aditya Patel,setup database schema,0,full-time,2,3
Sneha Nair,setup database schema,0,full-time,2,1
Ishita Singh,setup database schema,0,part-time,2,1
Aarav Sharma,setup database schema,0,full-time,2,1
Kunal Joshi,setup database schema,0,full-time,2,3
Aditya Patel,setup database schema,0,full-time,2,3
Ananya Verma,write api docs,0,part-time,2,3
Priya Das,write api docs,0,freelance,2,1
Ananya Verma,write api docs,0,full-time,2,1
Aditya Patel,write api docs,1,full-time,2,3
Ananya Verma,write api docs,0,freelance,2,3
Aarav Sharma,write api docs,0,full-time,2,3
Meera Kapoor,write api docs,1,freelance,2,3
Rohan Gupta,write api docs,1,full-time,2,3
Priya Das,write api docs,0,full-time,2,3
Ananya Verma,write api docs,0,part-time,2,3
Meera Kapoor,write api docs,0,freelance,2,1
Priya Das,write api docs,0,full-time,2,3
Rohan Gupta,write api docs,0,freelance,2,3
Ishita Singh,write api docs,1,full-time,2,3
Ishita Singh,write api docs,0,part-time,2,3
Aarav Sharma,write api docs,0,full-time,2,1
Sneha Nair,write api docs,0,freelance,2,1
Rohan Gupta,write api docs,0,full-time,2,3
Aarav Sharma,write api docs,0,part-time,2,3
Kabir Mehta,write api docs,0,freelance,2,1
Aarav Sharma,write api docs,0,part-time,2,1
Aditya Patel,write api docs,1,freelance,2,3
Ananya Verma,write api docs,1,freelance,2,3
Rohan Gupta,write api docs,0,full-time,2,3
Aditya Patel,write api docs,1,full-time,2,3
Sneha Nair,write api docs,1,full-time,2,1
Ishita Singh,write api docs,1,part-time,2,1
Aarav Sharma,write api docs,1,full-time,2,1
Kunal Joshi,write api docs,1,full-time,2,3
Aditya Patel,write api docs,0,full-time,2,3
Ananya Verma,test payment gateway,1,part-time,2,3
Priya Das,test payment gateway,0,freelance,2,1
Ananya Verma,test payment gateway,1,full-time,2,1
Aditya Patel,test payment gateway,0,full-time,2,3
Ananya Verma,test payment gateway,1,freelance,2,3
Aarav Sharma,test payment gateway,1,full-time,2,3
Meera Kapoor,test payment gateway,0,freelance,2,3
Rohan Gupta,test payment gateway,1,full-time,2,3
Priya Das,test payment gateway,0,full-time,2,3
Ananya Verma,test payment gateway,0,part-time,2,3
Meera Kapoor,test payment gateway,1,freelance,2,1
Priya Das,test payment gateway,0,full-time,2,3
Rohan Gupta,test payment gateway,1,freelance,2,3
Ishita Singh,test payment gateway,0,full-time,2,3
Ishita Singh,test payment gateway,1,part-time,2,3
